% Model:              magnetic_field_v4.mph
% Version:            COMSOL 5.3.0.316
% Date:               Oct 3 2018, 11:26
% Dimension:          2
% Nodes:              25379
% Expressions:        1
% Description:        Surface
% R                       Z                        Color
40                        39.2                     -0.002256293450819717
40                        40                       2.626557407913268E-6
39.470390586018866        39.45698634120445        -0.0015294212313670674
39.19999999999998         40                       7.441570689948237E-7
40                        38.39999999999999        -0.004523399667206745
39.396817430743326        38.7925900139274         -0.0034054471244202183
38.39999999999998         40                       4.213295052834613E-7
38.752525257347415        39.298467716314335       -0.001968531099387051
40                        37.599999999999994       -0.006809115246621491
39.377406167153886        37.99979691246602        -0.005656543960278689
37.59999999999998         40                       3.360672095296946E-7
37.941716577480996        39.34944249824206        -0.0018086469945095436
40                        36.79999999999998        -0.009123474607201768
39.364058058852244        37.20130274670333        -0.007947821461675905
36.79999999999998         40                       2.287514073428624E-7
37.173261129677215        39.34796293826013        -0.0017892802140916737
40                        35.99999999999997        -0.011475909968541325
39.36083388337769         36.400608363360256       -0.010278796632568093
35.99999999999998         40                       1.9077189568686426E-7
36.38381934138231         39.346437183028584       -0.001761090255229091
40                        35.199999999999974       -0.013875932919231872
39.35753698181578         35.60154018404563        -0.012647816165005545
35.199999999999974        40                       1.7348466846018226E-7
35.588829484241074        39.34764237634176        -0.0017167472663879788
40                        34.39999999999996        -0.01633295750860012
39.35605438588057         34.80077544580822        -0.01507427749059787
34.39999999999998         40                       1.7082884190324407E-7
34.792473371490715        39.34966450068793        -0.0016615981933747741
40                        33.599999999999966       -0.018856321587178853
39.354368145788335        34.000689947949674       -0.017560376489780847
33.59999999999998         40                       1.7712821256376152E-7
33.99637441636754         39.350824094371596       -0.0015999121432482095
39.99999999999999         32.79999999999996        -0.021455248083207607
39.35334198542402         33.20048537912639        -0.020117890876836665
32.799999999999976        40                       1.8371385952786756E-7
33.19807410985489         39.35128990460377        -0.0015306558653033215
40                        31.999999999999957       -0.024138832915809465
39.35273399178001         32.400258161619696       -0.022755716738962192
31.999999999999975        40                       1.9107665832560072E-7
32.398949146394244        39.3516616511284         -0.0014521075142249027
40                        31.199999999999957       -0.026915992268943156
39.352398743653985        31.60009412544788        -0.025482593730394767
31.199999999999974        40                       1.987287666059545E-7
31.59949188367982         39.35193979725439        -0.001364029980443047
30.399999999999974        40                       2.0605676464419131E-7
30.799830824291035        39.35212204927205        -0.0012661706384618136
40                        30.39999999999995        -0.029795414015524824
39.35225632030026         30.800018533241087       -0.0283072403834467
29.599999999999973        40                       2.120902516470254E-7
29.99999999999997         39.35221299796925        -0.0011582626377073587
28.799999999999972        40                       2.1657510513676628E-7
29.199999999999974        39.35221299796925        -0.0010400559414089493
40                        29.599999999999948       -0.032785499654218196
39.35221824581218         30.000001004540888       -0.03123830745856686
27.99999999999997         40                       2.204243431102685E-7
28.399999999999974        39.35221299796925        -9.112198049225207E-4
27.19999999999997         40                       2.2348269907111287E-7
27.599999999999973        39.35221299796925        -7.716197081645308E-4
40                        28.79999999999994        -0.035894294051206484
