#        4He and He
#   file_name    number_data  qty  exp_name
files/1460896727/data_exp96.dat      25      MASS91(1991/09)   He
files/1460896727/data_exp97.dat       3      MUBEE(1975/09+1978/08+1986/07+1987/07)   He
files/1460896727/data_exp98.dat       6      OGO1(1964/10-1965/11)   He
files/1460896727/data_exp99.dat       5      OGO1(1965/03-1965/06)   He
files/1460896727/data_exp100.dat      15      OGO5(1968/03-1968/10)   He
files/1460896727/data_exp101.dat      83      PAMELA(2006/07-2008/12)   He
files/1460896727/data_exp102.dat       6      PAMELA-CALO(2006/06-2010/01)   He
files/1460896727/data_exp103.dat      15      PAMELA-CALO(2006/07-2007/12)   4He
files/1460896727/data_exp104.dat      17      PAMELA-TOF(2006/07-2007/12)   4He
files/1460896727/data_exp105.dat      14      Pioneer8(1968/04)   He
files/1460896727/data_exp106.dat       6      RICH-II(1997/10)   He
files/1460896727/data_exp107.dat       6      RUNJOB(1995+1996+1997+1998+1999)   He
files/1460896727/data_exp108.dat      13      SMILI-I(1989/09)   He
files/1460896727/data_exp109.dat      13      SMILI-II(1991/07)   He
files/1460896727/data_exp110.dat       8      SOKOL(1984/03-1986/01)   He
files/1460896727/data_exp111.dat      15      Voyager1(2008/05)   He
files/1460896727/data_exp112.dat      22      Voyager1(2012/10-2012/12)   He
files/1460896727/data_exp113.dat       6      Voyager1-HET(1977/10-1977/11)   4He
files/1460896727/data_exp114.dat       7      Voyager2-HET(1987/01-1987/12)   4He
